Seite/Komponente,Bildtyp,Seiten-URL (DE),Seiten-URL (EN),Aktueller DE Alt-Text,Aktueller EN Alt-Text,Status,Vorschlag DE (SEO-optimiert),Vorschlag EN (SEO-optimiert),Priorität,Code-Komponente,Dictionary-Pfad,Anmerkungen
Homepage - Carousel: Gulf Interiors,Press Logo,https://biszet.de/de,https://biszet.de/en,Gulf Interiors Magazine,Gulf Interiors Magazine,⚠️ Generic,Gulf Interiors Magazine Logo - biszet Design Feature,Gulf Interiors Magazine Logo - biszet design feature,Mittel,src/components/Carousel.tsx,home.modules.carousel.items[2][2].imageAlt,Kontext hinzufügen
Homepage - FeatureShowcase,Infografik,https://biszet.de/de,https://biszet.de/en,Zonen,Integrate 3-zone graphic,⚠️ Nicht deskriptiv,biszet b7 mit drei Klimazonen für optimale Kosmetiklagerung,biszet b7 with three climate zones for optimal cosmetics storage,Hoch,src/components/FeatureShowcase.tsx,home.modules.featureShowcase.imageAlt,Beschreibt die Kernfunktion
Homepage - EditorialSplit,Animation/GIF,https://biszet.de/de,https://biszet.de/en,Schrank Animation,Fridge Animation,⚠️ Nicht deskriptiv,biszet b7 Kosmetikkühlschrank mit LED-Beleuchtung und Glasregalen,biszet b7 cosmetics refrigerator with LED lighting and glass shelves,Mittel,src/components/EditorialSplit.tsx,home.modules.editorialSplit.imageAlt,Mehr Details zur Visualisierung
Homepage - ContactTeaser,Produktfoto,https://biszet.de/de,https://biszet.de/en,Schrank Diagonal,Schrank Diagonal,❌ Nicht übersetzt,biszet b7 Kosmetikkühlschrank seitliche Ansicht,biszet b7 cosmetics refrigerator side view,Hoch,src/components/ContactTeaser.tsx,home.modules.contactTeaser.imageAlt,Englische Übersetzung fehlt komplett
Technology - FeatureShowcase,Technische Grafik,https://biszet.de/de/technology,https://biszet.de/en/technology,Zonen,Integrate 3-zone graphic,⚠️ Inkonsistent,Technische Darstellung der drei Klimazonen im biszet b7,Technical illustration of three climate zones in biszet b7,Mittel,src/components/FeatureShowcase.tsx,technology.modules.featureShowcase.imageAlt,Konsistenz mit Homepage verbessern
Technology - Grafik Maße,Technische Zeichnung,https://biszet.de/de/technology,https://biszet.de/en/technology,Zonen,graphic showing the dimensions,⚠️ Inkonsistent,Maßzeichnung biszet b7 Kosmetikkühlschrank (Höhe/Breite/Tiefe),Dimension drawing biszet b7 cosmetics refrigerator (height/width/depth),Mittel,src/components/FeatureShowcase.tsx,technology.modules.featureShowcase.imageAlt,Technische Details präzise benennen
Technology - EditorialSplit,Produktfoto,https://biszet.de/de/technology,https://biszet.de/en/technology,Schrank offen,Fridge opened,✅ Gut,biszet b7 geöffnet mit Glasregalen und LED-Beleuchtung,biszet b7 opened with glass shelves and LED lighting,Niedrig,src/components/EditorialSplit.tsx,technology.modules.editorialSplit.imageAlt,Kann noch detaillierter werden
Technology - EditorialSplit2,Produktfoto,https://biszet.de/de/technology,https://biszet.de/en/technology,Schrank geschlossen,Fridge closed,✅ Gut,biszet b7 geschlossen - Edelstahl-Front mit satiniertem Glas,biszet b7 closed - stainless steel front with frosted glass,Niedrig,src/components/EditorialSplit.tsx,technology.modules.editorialSplit2.imageAlt,Kann noch detaillierter werden
Story - Editorial Quote,Press Logo,https://biszet.de/de/story,https://biszet.de/en/story,Wallpaper,Wallpaper,⚠️ Inkonsistent,Wallpaper Magazine Logo,Wallpaper Magazine Logo,Niedrig,src/components/Editorial.tsx,story.modules.editorial.quoteImageAlt,Konsistenz mit Carousel
Story - Editorial Bild 1,Gründerfoto,https://biszet.de/de/story,https://biszet.de/en/story,Jürgen Kraus,Jürgen Kraus,✅ Gut,Jürgen Kraus - Gründer und Geschäftsführer biszet,Jürgen Kraus - Founder and CEO biszet,Niedrig,src/components/Editorial.tsx,story.modules.editorial.imageAlt1,Optional: Kontext hinzufügen
Story - Editorial Bild 2,Gründerfoto,https://biszet.de/de/story,https://biszet.de/en/story,Ulla Kraus,Ulla Kraus,✅ Gut,Ulla Kraus - Gründerin und Geschäftsführerin biszet,Ulla Kraus - Founder and CEO biszet,Niedrig,src/components/Editorial.tsx,story.modules.editorial.imageAlt2,Optional: Kontext hinzufügen
Story - Quote Image,Press Logo,https://biszet.de/de/story,https://biszet.de/en/story,Wallpaper-Logo,Wallpaper-Logo,⚠️ Inkonsistent,Wallpaper Magazine Logo,Wallpaper Magazine Logo,Niedrig,src/components/Editorial.tsx,story.modules.editorialText.quoteImageAlt,Konsistenz mit anderen Referenzen
Story - References: LVMH,Partner Logo,https://biszet.de/de/story,https://biszet.de/en/story,LVMH Logo,LVMH Logo,✅ Ausreichend,LVMH Logo - biszet Partner,LVMH Logo - biszet partner,Niedrig,src/components/Carousel.tsx,story.modules.references.items[0][0].imageAlt,Optional: Kontext
Story - References: DIOR,Partner Logo,https://biszet.de/de/story,https://biszet.de/en/story,DIOR Logo,DIOR Logo,✅ Ausreichend,DIOR Logo - biszet Partner,DIOR Logo - biszet partner,Niedrig,src/components/Carousel.tsx,story.modules.references.items[0][1].imageAlt,Optional: Kontext
Story - References: The Shard,Partner Logo,https://biszet.de/de/story,https://biszet.de/en/story,The Shard Logo,The Shard Logo,✅ Ausreichend,The Shard London Logo - biszet Referenz,The Shard London Logo - biszet reference,Niedrig,src/components/Carousel.tsx,story.modules.references.items[0][2].imageAlt,Optional: Kontext
Story - References: Jumeirah,Partner Logo,https://biszet.de/de/story,https://biszet.de/en/story,Jumeirah_logo,Jumeirah_logo,✅ Ausreichend,Jumeirah Hotels Logo - biszet Hotelprojekt,Jumeirah Hotels Logo - biszet hotel project,Niedrig,src/components/Carousel.tsx,story.modules.references.items[1][0].imageAlt,Optional: Kontext
Story - References: Ritz Carlton,Partner Logo,https://biszet.de/de/story,https://biszet.de/en/story,Ritz Carlton Logo,Ritz Carlton Logo,✅ Ausreichend,Ritz Carlton Logo - biszet Luxushotel-Partner,Ritz Carlton Logo - biszet luxury hotel partner,Niedrig,src/components/Carousel.tsx,story.modules.references.items[1][1].imageAlt,Optional: Kontext
Story - References: Park Hyatt,Partner Logo,https://biszet.de/de/story,https://biszet.de/en/story,Park Hyatt Istanbul Logo,Park Hyatt Istanbul Logo,✅ Ausreichend,Park Hyatt Istanbul Logo - biszet Hotelprojekt,Park Hyatt Istanbul Logo - biszet hotel project,Niedrig,src/components/Carousel.tsx,story.modules.references.items[1][2].imageAlt,Optional: Kontext
Story - References: Fährhaus Sylt,Partner Logo,https://biszet.de/de/story,https://biszet.de/en/story,Myself,Myself,❌ Falsch,Sylter Fährhaus Logo - biszet 5-Sterne Hotel,Sylter Fährhaus Logo - biszet 5-star hotel,Hoch,src/components/Carousel.tsx,story.modules.references.items[2][0].imageAlt,Falsches Alt-Attribut!
Story - References: Budersand,Partner Logo,https://biszet.de/de/story,https://biszet.de/en/story,Elle,Elle,❌ Falsch,Budersand Hotel Logo - biszet 5-Sterne Superior Partner,Budersand Hotel Logo - biszet 5-star superior partner,Hoch,src/components/Carousel.tsx,story.modules.references.items[2][1].imageAlt,Falsches Alt-Attribut!
Story - References: B.S.C. Group,Partner Logo,https://biszet.de/de/story,https://biszet.de/en/story,Gulf Interiors Magazine,Gulf Interiors Magazine,❌ Falsch,B.S.C. Group Limited Logo - biszet Vertriebspartner Hong Kong,B.S.C. Group Limited Logo - biszet distribution partner Hong Kong,Hoch,src/components/Carousel.tsx,story.modules.references.items[2][2].imageAlt,Falsches Alt-Attribut!
Navigation - Logo,Firmenlogo,Alle Seiten,All pages,Biszet Logo,Biszet Logo,❌ Hardcoded,biszet - Luxus-Kosmetikkühlschrank,biszet - luxury cosmetics refrigerator,Hoch,src/components/Navigation.tsx (Zeile 59),Neu: navigation.logoAlt,Muss aus Dictionary kommen
Footer - Logo,Firmenlogo,Alle Seiten,All pages,Biszet Logo,Biszet Logo,❌ Hardcoded,biszet - Kosmetikkühlschrank made in Germany,biszet - cosmetics refrigerator made in Germany,Hoch,src/components/Footer.tsx (Zeile 18),Neu: footer.logoAlt,Muss aus Dictionary kommen
Contact - EditorialSplit,Produktfoto,https://biszet.de/de/contact,https://biszet.de/en/contact,Fridge Animation,Fridge Animation,✅ Vorhanden,biszet b7 Kosmetikkühlschrank in Luxus-Badezimmer,biszet b7 cosmetics refrigerator in luxury bathroom,Niedrig,src/components/EditorialSplit.tsx,contact.modules.editorialSplit.imageAlt,Bereits gut
VideoPlayer - Play Button,Icon,Alle Seiten (bei Videos),All pages (with videos),Play,Play,✅ Vorhanden,Abspielen,Play,Niedrig,src/components/VideoPlayer.tsx (Zeile 46),Hardcoded - Optional in Dictionary,Funktional ausreichend
Meta Tags (OG Image),Social Share,Alle Seiten,All pages,biszet kosmetik kühlschrank,biszet cosmetics refrigerator,✅ Gut,biszet b7 Luxus-Kosmetikkühlschrank made in Germany,biszet b7 luxury cosmetics refrigerator made in Germany,Niedrig,src/utils/getMetadata.tsx,*.meta.image.alt,Social Media optimiert
